"","STU_ID","Attrition_Y_N","Grades","MAP.Score","Number_Absent","Number_Disc_Incidents","days_enrolled","weeks_enrolled","months_enrolled","years_enrolled","Miles_Distance_House_School"
"3408",4167,0,80.4,42.5,8,1,382,54.57,13,1.05,3.421769934
"3409",4168,0,91.3,52.67,36,1,345,49.29,11,0.95,1.764988386
"3410",4169,0,84.5,7.5,19,1,345,49.29,11,0.95,3.168479146
"3411",4170,0,88.7,46.25,11,1,345,49.29,11,0.95,3.168479146
"3412",4171,1,88.6,58.5,29,1,156,22.29,5,0.43,9.101096975
"3413",4172,0,85.7,43.25,55,1,345,49.29,11,0.95,7.257772273
"3414",4173,0,81.1,17.5,41,1,345,49.29,11,0.95,3.858400384
"3415",4174,0,0,41.5,69,1,345,49.29,11,0.95,4.750601344
"3416",4175,0,91.9166666666667,92.67,87,1,345,49.29,11,0.95,2.495759402
"3417",4176,0,0,92.67,0,1,345,49.29,11,0.95,4.363360141
"3418",4177,0,89.5,47.5,7,1,345,49.29,11,0.95,2.692767572
"3419",4178,0,84.8,3,17,1,345,49.29,11,0.95,1.846859913
"3420",4179,0,82.3,25.25,7,1,345,49.29,11,0.95,2.214699986
"3421",4180,0,90.9,58.75,1,1,345,49.29,11,0.95,2.338612638
"3422",4181,0,81,4.5,11,1,345,49.29,11,0.95,1.037061833
"3423",4182,0,81.1666666666667,59.5,37,1,345,49.29,11,0.95,6.891405579
"3424",4183,0,85.8,18,0,1,345,49.29,11,0.95,1.414081799
"3425",4184,0,78.1,1,21,1,345,49.29,11,0.95,8.362055228
"3426",4185,0,0,1,0,1,345,49.29,11,0.95,5.968538963
"3427",4186,0,88,41.25,10,1,345,49.29,11,0.95,2.605389741
"3428",4187,0,94,63,27,1,377,53.86,12,1.03,1.760695957
"3429",4188,0,0,37.5,11,1,376,53.71,12,1.03,6.06009226
"3430",4189,1,80.5,27.75,0,1,67,9.57,2,0.18,1.125791592
"3431",4190,1,73.7,12.5,11,1,67,9.57,2,0.18,0.759577526
"3432",4191,0,0,12.5,0,1,345,49.29,11,0.95,1.84398273
"3433",4192,1,87.6,54.25,86,1,67,9.57,2,0.18,2.800967257
"3434",4193,0,79.3,43.75,24,1,345,49.29,11,0.95,2.126476259
"3435",4194,0,88.9,61.75,43,1,345,49.29,11,0.95,3.484683638
"3436",4195,0,90.7,77.75,15,1,345,49.29,11,0.95,1.147845494
"3437",4196,0,91,78.25,1,1,345,49.29,11,0.95,0.194410999
"3438",4197,0,84.3,48.5,7,1,345,49.29,11,0.95,1.218578359
"3439",4198,1,84.1666666666667,46.5,5,1,151,21.57,5,0.41,6.243958785
"3440",4199,0,88.6,54,3,1,345,49.29,11,0.95,1.218578359
"3441",4200,0,74.1,63.25,65,1,345,49.29,11,0.95,2.368043249
"3442",4201,0,0,63.25,0,1,345,49.29,11,0.95,3.641255431
"3443",4202,0,0,63.25,0,1,345,49.29,11,0.95,3.768353933
"3444",4203,0,0,59.5,30,1,345,49.29,11,0.95,5.567215547
"3445",4204,0,0,50,4,1,345,49.29,11,0.95,3.029972118
"3446",4205,0,0,63.5,14,1,345,49.29,11,0.95,4.541783987
"3447",4206,0,0,8,16,1,345,49.29,11,0.95,4.816853116
"3448",4207,0,0,30,0,1,345,49.29,11,0.95,4.877558832
"3449",4208,1,0,30,2,1,69,9.86,2,0.19,6.313720268
"3450",4209,0,80.9,14.25,6,1,345,49.29,11,0.95,0.936747866
"3451",4210,0,0,12.5,0,1,345,49.29,11,0.95,5.458275766
"3452",4211,0,83,37.25,9,1,345,49.29,11,0.95,2.147657106
